Tittel,Opphav,Målgruppe,Type,Fase,Årstid,Dager,Tid,Beskrivelse,Verdi for brukerne,Verdi for organisasjonene,Hva må være på plass,Hvor starter vi,ImageURL,pdfURL
Nattverk,Speed-dating,Ungdom og Studenter,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"«Nattverk» er et eksklusivt konsept der huset åpner dørene for ungdom og studenter etter ordinær stengetid. Dette er en festival-lignende helaften spekket med energi og skaperkraft, utviklet fullstendig på målgruppens premisser. Her byttes den tradisjonelle museumsroen ut med puls, og programmet spenner bredt: fra rappellering i scenetårnet og konsertmaraton, til videomapping og kreative verksteder. Konseptet forvandler bygget til en lekegrind der deltakerne inviteres til å være aktive medskapere, ikke bare tilskuere. Det signaliserer tydelig at kulturhuset tør å utfordre etablerte rammer og gi plass til det upolerte og eksperimentelle.",,,,,nattverk.png,nattverk.pdf
Temauke- og festival,Speed-dating / Ansattintervjuer,Alle,"Fasilietet, Arrangement",Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg","Dag, Kveld/natt","Dette konseptet er overordnet for større arrangementer der museet og teateret samarbeider. Hovedidéen går ut på at det enes om et bestemt tema, som kan utforskes gjennom utstillinger, arrangementer og samlinger. 

Et eksempel på Temauke- og festival er temaet “Tekstil”, som i dag allerede utforskes av museet, der det er mulig å arrangere et samarbeid. Dette kan utgjøre ulike undertema knyttet til tekstil: Kostymer, både tematisk og historisk, knyttet til enkelte skuespillere eller innbyggerne. Fokus på bærekraft, redesign, kostymesalg.
Håndtverktradisjoner. Tekstiler kan hentes fra magasinet og brukes til inspirasjon og utstillinger",Fordypning i et tema fra flere perspektiver med høy grad av variasjon.,Gir sterkere tverrfaglig profil og mulighet for større publikumsbredd.,"Felles temafastsetting, koordinering av program og kuratorisk samarbeid.",Kartlegge aktuelle temaer som allerede finnes i museets eller teaterets sesongplan.,temauke-ogfestival.png,Temauke- og festival.pdf
Reporterboksen,Workshop med barn,Barn og unge / Ungdom,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Reporterboksen er et lekent og observasjonsbasert konsept der barn og ungdom fungerer som “kulturreportere” som kommenterer publikums adferd i museet eller teateret. I en egen liten studio-setting – inspirert av sports- eller nyhetssendinger – får deltakerne følge med på livebilder fra publikumsområder og lage humoristiske, kreative eller refleksive analyser av hva de ser. 

Konseptet gir en morsom inngang til å utforske sosial adferd, regler, normer og publikumsdynamikk, samtidig som det åpner for dialog om hva som skaper gode opplevelser for alle. Reporterboksen kombinerer rollespill, medieproduksjon og kulturforståelse i ett.","Gir barn og unge en morsom måte å lære om adferd, normer og publikumsopplevelser gjennom kreativ lek.","Skaper engasjement, gir innsikt i publikumsbruk og tilfører humor og energi i besøksområdene.","En enkel “studio”-sone, skjermer med videofeed, headset og enkle rammer for trygg gjennomføring.",Sette opp en teststasjon og la en liten gruppe barn prøve konseptet i praksis.,reporterboksen.png,Reporterboksen.pdf
Samfunnsspeilet,Kultursjefen,Alle,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Samfunnsspeilet er en programserie der museet og teateret setter aktuelle samfunnstemaer på agendaen gjennom samtaler, sceniske innslag, utstillinger, foredrag og publikumsdrevne diskusjoner. Konseptet fungerer som en arena for å belyse og utforske spørsmål som preger Stavanger og Norge – fra klima og byutvikling til identitet, teknologi, kulturpolitikk og hverdagsliv. 

Ved å kombinere kunstneriske perspektiver med kunnskapsbasert formidling skapes rom for refleksjon, debatt og lokal deltakelse. Samfunnsspeilet gir publikum en opplevelse som både er relevant, engasjerende og forankret i samtidens utfordringer og muligheter.","Gir innsikt i aktuelle temaer gjennom en attraktiv kombinasjon av kunnskap, kunst og dialog.",Posisjonerer bygget som et relevant møtested for offentlig samtale og samfunnsaktuelle initiativer.,"Tematisk plan, faglige bidragsytere, programstruktur og egnede rom for publikumssamtaler.",Velg første tema og inviter inn nøkkelstemmer til en pilotutgave av Samfunnsspeilet.,samfunnsspeilet.png,Samfunnsspeilet.pdf
Storkonserter,Kommersiell workshop,Alle,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Storkonserter innebærer å bruke de nye lokalene som arena for store liveopptredener med kjente artister, og viser hvordan bygget kan fungere som et fleksibelt kulturhus med bred publikumsappell. Konseptet åpner for arrangementer som ikke nødvendigvis er faglig knyttet til museet eller teaterets kjerneoppdrag, men som kan skape aktivitet, synlighet og nye publikumsstrømmer. 

Slike konserter kan bidra til å etablere bygget som en attraktiv møteplass i regionen og generere betydelige inntekter gjennom billettsalg, partnerskap og utleie. Samtidig demonstrerer de lokalets tekniske kapasitet og dets potensial som en storslått scene.","Gir publikum store kulturopplevelser i et nytt, moderne og lett tilgjengelig lokale.","Skaper inntekter, øker synlighet og åpner for nye publikumsgrupper.","Tekniske spesifikasjoner, logistikk for store produksjoner, riggplan og sikkerhetsopplegg.",Kartlegg mulige artister/partnere og test en pilotkonsert i mindre skala.,storkonserter.png,Storkonserter.pdf
Tradisjonsdager,Kommersiell workshop,Alle,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Tradisjonsdager er en serie arrangementer som samler ulike uttrykk for tradisjonelt håndverk, kultur og praksis – fra rosemaling og bunadshåndverk til flerkulturelle tradisjoner, mat, musikk, gjenbruk og reparasjon. Konseptet gir publikum anledning til å oppleve levende håndverksdemonstrasjoner, delta i små verksteder og møte utøvere som viderefører kunnskap på tvers av generasjoner og kulturer. Arrangementene skaper et inkluderende rom der både historiske og samtidige tradisjoner får plass, og gir deltakerne innsikt i hvordan kulturarv utvikles, vedlikeholdes og deles. Tradisjonsdager kan gjennomføres som enkeltarrangementer eller som en årlig festival.",Gir innblikk i levende håndverkstradisjoner og skaper møteplasser for læring og deltakelse på tvers av alder og bakgrunn.,Styrker kulturhusets breddeprofil og posisjon som formidler av både lokal og flerkulturell kulturarv.,"Håndverksutøvere, materialer, verkstedområder, programoppsett og enkel logistikk for publikum.",Kartlegg aktuelle tradisjonsbærere og sett opp en pilotdag med 2–3 aktiviteter.,tradisjonsdager.png,tradisjonsdager.pdf
Pils og pølse,Comte Bureau,Studenter,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"«Pils og pølse» er et målrettet lavterskeltilbud designet for å gjøre kulturhuset til en naturlig sosial arena for byens studenter. Ved å tilby en klassisk, prisvennlig kombinasjon i en uformell ramme, fjernes de økonomiske og kulturelle barrierene som ofte hindrer denne målgruppen i å bruke institusjonene. Konseptet handler ikke om å påtvinge faglig innhold, men om å skape en trygg og avslappet «inngangsbillett» til huset. Når terskelen for å gå inn døra først er brutt, skapes en tilhørighet som på sikt gjør veien videre inn i teatersalen eller utstillingene kortere.",Tilbyr et rimelig og uformelt sosialt møtested uten krav om å kjøpe billett til en forestilling. Etablerer også bekjentskap til kulturtilbud og andre jevnaldrende.,Etablerer en tidlig relasjon til fremtidens publikum og skaper liv og røre i huset på kveldstid.,"Skjenkebevilling, logistikk for enkel matservering og en prisstruktur tilpasset studentøkonomien.",Introduser konseptet som en fast «studenttorsdag» i den eksisterende baren for å bygge vaner.,pilsogpolse.png,pilsogpolse.pdf
Barselturné,Comte Bureau,Foreldre i permisjon,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Barselturné er et skreddersydd formidlingstilbud for foreldre i permisjon. Her inviteres man til rolige omvisninger i utstillinger eller bak teaterets kulisser, tilpasset babyens rytme. Tempoet er lavt, og det er full aksept for amming, bleieskift og barnegråt underveis. Etter den faglige delen legges det opp til en sosial samling med kaffe, hvor deltakerne kan dele erfaringer. Tilbudet motvirker isolasjon i barseltiden og skaper et trygt, kulturelt fellesskap for nybakte foreldre som ønsker intellektuelt påfyll i trygge rammer.",Gir faglig inspirasjon og et viktig sosialt nettverk i en livsfase som ellers kan oppleves isolerende.,Skaper aktivitet i bygget på dagtid og knytter sterke bånd til barnefamilier som fremtidig publikum.,"Universell utforming med god plass til barnevogner, lett tilgjengelige stellerom og tålmodige formidlere.","Etabler en fast, månedlig «trilletur» med enkel servering i dagens lokaler for å bygge opp en fast gruppe.",barselturné.png,Barselturne.pdf
Morgenbit,Comte Bureau,Seniorer,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"«Morgenbit» er et sosialt og faglig frokostkonsept skreddersydd for byens seniorer. Tidlig på dagen, når museet og teateret ellers er stille, inviteres målgruppen til en rimelig frokost servert med en «bit» kulturhistorie eller teaterkunst attåt. Mens kaffen nytes, deler en formidler eller skuespiller en kort historie, leser en tekst eller viser frem en unik gjenstand. Dette skaper en fast, trygg møteplass som motvirker ensomhet og gir jevnlig faglig påfyll. Konseptet signaliserer at institusjonene verdsetter det eldre publikummet og ønsker å tilby meningsfulle opplevelser også utenom ordinær åpningstid.",Gir et fast sosialt holdepunkt i hverdagen kombinert med hyggelig samvær og faglig inspirasjon.,Skaper liv i foajéen på rolige tidspunkter og bygger sterk lojalitet hos en viktig og kulturinteressert kjernegruppe.,"Et enkelt og rimelig serveringstilbud, samt en rullerende plan for korte formidlingsinnslag.",Start med en ukentlig «Seniorfrokost» i dagens kafé med høytlesning eller gjenstandsvisning.,morgenbit.png,Morgenbit.pdf
Kultur 101,Speed-dating / Styret,Ungdom / Studenter,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"«Kultur 101» er en introduksjon til kunstens uskrevne regler, designet for å fjerne usikkerhet hos nye publikumsgrupper. Mange unge vegrer seg for å oppsøke teater og museum fordi de frykter sosiale blemmer: Hva skal man ha på seg? Når er det lov å klappe? Hvordan tolker man en utstilling? Gjennom informative installasjoner eller samlinger svares det på «dumme» spørsmål man ellers ikke tør å stille. Konseptet ufarliggjør opplevelsen ved å gjøre de implisitte kodene eksplisitte. Målet er å gi publikum selvtillit til å innta kulturrommet som sitt eget, helt uten frykt for å gjøre feil.",Gir trygghet og mestringsfølelse ved å avkrefte myter om at man må «kunne» noe for å delta.,Senker terskelen drastisk for førstegangsbesøkende og motvirker oppfatningen av institusjonene som elitistiske.,En fysisk eller digital informasjonsstasjon med humoristisk og pedagogisk innhold om «skikk og bruk».,Lag en enkel videoserie til sosiale medier som svarer på de vanligste spørsmålene ungdom har om teater- og museumsbesøk.,kultur101.png,Kultur101.pdf
Residency,Ansattintervjuer,Alle / Kunstnere og forskere,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Residency-ordningen gir kunstnere og forskere muligheten til å jobbe konsentrert i det nye bygget over kortere eller lengre perioder. Oppholdene kan brukes til kunstnerisk utvikling, tverrfaglige prosjekter, forskningsarbeid, tekstutvikling, prøver eller formidlingsaktiviteter. Deltakerne får tilgang til relevante rom, arbeidsplasser og faglige miljøer, og kan utvikle prosjekter som også involverer publikum gjennom åpne visninger, foredrag, samtaler eller delingsøkter. Residencyen bidrar til kontinuerlig faglig aktivitet i bygget og skaper rom for nye impulser, eksperimentering og kunnskapsutveksling.","Gir fordypning, tilgang til profesjonelle fasiliteter og mulighet for å utvikle prosjekter i ro og kontinuitet.","Tilfører faglig aktivitet, nye perspektiver og økt synlighet gjennom delingsarenaer.","Utvelgelseskriterier, søknadsprosess, arbeidsplasser og tydelig ramme for oppholdet.",Test én kortvarig pilotresidency med invitert kunstner eller forsker.,residency.png,Residency.pdf
Felles nettsider,Ansattintervjuer / Matchmaking,Alle,Tjeneste,Mellomtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg","Dag, Kveld/natt","En felles nettside kan først og fremst vise frem de felles funksjonene, arrangmentene, tilbudene, tjenestene, rommene og planene. Ut over de ulike fasene av prosjektet vil dette ha ulik potensiell verdi: fra å formidle og holde folk oppdatert i nåtiden, fremme felles arrangementer og informasjon i mellomtiden, og potensielt representere Mittrommet i nytiden. 

En felles nettside som representere Mittrommet vil både kunne være verdifull for å formidle om de generelle mulighetene som eksisterer der, ved siden av museets og teaterets virksomheter. Samtidig vil samhandlingen mellom begge organisasjonene utgjøre aktuelt innhold på disse sidene, og det er en fin måte å få besøkende til å klikke seg videre inn på teaterforestillinger så vel som museumshendelser.",Tydelig kommunikasjon av Mittrommets tilbud og tjenester / portal inn mot teateret og museets tilbud.,Styrker samarbeid gjennom en felles plattform / et konkret sted for annonsering av samhandlende initiativer.,Avklaring om organisasjonenes rolle inn i Mittrommet. Drift og infrastruktur for å holde nettstedet aktivt.,"Begynn i det små. Det kan være en enkel ‘første versjon’, som inneholder forventningsbyggende informasjon om det nye bygget og de nye fasilitetene. Over tid og med modning kan nettstedet tilpasses, utvides og oppdateres.",fellesnettsider.png,Fellesnettsider.pdf
Historiesporing,Ansattintervjuer / Matchmaking,Alle / Seniorer,Tjeneste,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg","Dag, Kveld/natt","Stavanger Museum får ofte inn henvendelser fra lokale innbyggere om gamle objekter de finner eller arver. Disse objektene meldes inn til museet for at ekspertene der kan spore objektenes årstall og mulige opprinnelse. Tjenesten er i dag noe som gjøres ‘løpende’, der det er behov for en mer strukturert portal for å melde inn om objekter. 

Med en ny brukervennlig portal for å få informasjon om- og utforske tidligere innmeldte objekter, åpner dette for flere muligheter som relaterer til konservering på ‘dugnadsnivå’. Portalen kan øke interessen for å kjenne igjen gamle gjenstander en har selv, som spiller på lag med Mittrommet som et sted der befolkningen i Stavanger kan danne en personlig assosiasjon til aktiviteten som skjer i det nye bygget.",Brukervennlig sporing og utforskning av historiske objekter blant befolkningen i Stavanger. Nysgjerrighet rundt konservering og sporing av objekter.,"Strukturert side som regulerer trafikk, med mulig oppbygging av arkiv over tid over objekter fra innbyggerne. Kan videre bruks til arrangementer eller utstillinger (se konseptene Dine Fine Ting og Museumsarkivet)",Digital tjeneste og kontaktkanaler.,"Gjør en videre kartlegging av hvordan denne tjenesten fungerer i dag, og pek på hvilke behov som kan forbedres for å gjøre tjenesten bedre for både de ansatte og brukere.",historiesporing.png,Historiesporing.pdf
Nyhetsbrev for deg,Ansattintervjuer,Alle,Tjeneste,Mellomtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Nyhetsbrevet kan fungere som en kanal for å dele fremdriften mot det nye teater- og museumsbygget, med fokus på Mittrommet. De som melder seg på nyhetsbrevet kan få informasjon tilpasset dem selv, for eksempel nyheter som spesifikt omfatter det romlige, eller nye tilbud på tvers av organisasjonene.

Når bygget står ferdig, er nyhetsbrevet en tilgjengelig måte å samle aktuell informasjon om tilbud og aktiviteter som oppstår i Mittrommet. Her kan også brukere tilpasse informasjonen rundt innhold de selv er interessert i. 

Med et skreddersydd nyhetsbrev kan Mittrommet får mer informasjon om ulike brukergrupper som følger med på bygget, og kan derfor skape samskapende innhold som henvender seg til konkrete målgrupper.","Relevant informasjon om ting som skjer, og oppdateringer om fremgangen mot nytt bygg.",En samlet kanal der teateret og museet kan samarbeide om felles informasjonsdeling. Skreddersydde nyhetsbrev gir også datagrunnlag om ulike interessegrupper.,"Tjeneste for nyhetsbrevet. Før det eventuelt vurderes en ny nettside der dette kan annonseres, kan det annonseres på organisasjonenes eksisterende nettside eller annen annosering.","Markedsføringsansvarlige i begge organisasjoner bør møtes for å vurdere hva innholdet i et slikt nyhetsbrev kunne vært, og lage en enkelt første versjon. ",nyhetsbrevfordeg.png,nyhetsbrevfordeg.pdf
RT og MS i SOME,Styret,Alle / Ungdom,Tjeneste,Mellomtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"RT og MS i SOME handler om å utvikle en mer strategisk, kreativ og synlig tilstedeværelse i sosiale medier. Konseptet utforsker hvordan kanaler som Instagram, TikTok, YouTube og Snapchat kan brukes på nye måter for å nå både ungdom og bredere publikum. Det kan innebære alt fra bak-kulissene-innhold, livesendinger, korte format-videoer og humorbasert kommunikasjon til bruk av AR-filtre, interaktive historier og publikumsdrevne kampanjer. Målet er å gjøre innholdet mer relevant, leken og algoritmevennlig, samtidig som museet og teateret fremstår som et samlet og moderne kulturmiljø som tør å eksperimentere.","Gir lett tilgjengelig, underholdende og engasjerende innhold som senker terskelen for besøk.","Øker synlighet, bygger nye målgrupper og skaper mer dynamisk kommunikasjon.","Innholdsplan, tydelig visuelt uttrykk, produksjonskapasitet og klare målgrupper.",Lag en pilotserie med korte videoer og test respons i én valgt kanal.,rtogsmisome.png,rtogsmisome.pdf
Museumsarkivet,Ansattintervjuer,Alle,"Fasilietet, Tjeneste",Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Museumsarkivet er en digital, publikumsvendt portal som gjør det mulig for besøkende å utforske museets samlinger på egen hånd i byggets fellesområder. Gjennom en stor interaktiv skjerm eller touch-basert installasjon kan brukere søke i gjenstander, bilder, historier og kategorier, og på den måten få innblikk i både utstilte og magasinerte objekter. Konseptet åpner for fordypning, nysgjerrig utforskning og personlige oppdagelser – også for dem som ikke deltar i guidede omvisninger. Arkivet fungerer som et lavterskeltilbud som kobler den fysiske museumsopplevelsen med en digital inngang til kunnskapsgrunnlaget bak utstillingene.","Gir enkel tilgang til samlinger, innsikt og utforskning uten krav om forhåndskunnskap.",Synliggjør bredden i samlingene og gir et ekstra formidlingstilbud i fellesarealene.,"Digital løsning, oppdatert samlingsdatabase, skjerminstallasjon og brukervennlig grensesnitt.",Velg et avgrenset utvalg objekter og test en første versjon i mitrommet.,museumsarkivet.png,museumsarkivet.pdf
